loc_id;XP;YP;Tp_s;Tm2_0_TM02_s;Tm_1_0_TMM10_s
1;702415.75;9323137;4.750593824;3.609572025;4.858611822
2;702386.1875;9323175;4.750593824;3.535274443;4.836277293
3;702380.0625;9323225;4.750593824;3.56507539;4.848787744
4;702373.875;9323274;4.750593824;3.564128747;4.837005781
5;702367.6875;9323324;4.750593824;3.657194388;4.907062636
6;702361.5;9323373;4.750593824;3.768451252;4.989485656
7;702355.875;9323423;4.84496124;3.82825835;5.008264612
8;702370.5;9323470;4.750593824;3.72331603;4.884001111
9;702362.1875;9323519;4.84496124;3.750327789;4.903726863
10;702362.0625;9323566;4.84496124;3.684809032;4.859905618
11;702396.75;9323602;4.750593824;3.599039657;4.7645624
12;702440.125;9323614;4.750593824;3.580063609;4.736151131
13;702489.6875;9323607;4.750593824;3.587821188;4.757378905
14;702539.25;9323600;4.750593824;3.567569489;4.72951028
15;702588.8125;9323594;4.750593824;3.546408069;4.698000569
16;702638.375;9323587;4.750593824;3.509144828;4.645965525
17;702688;9323581;4.750593824;3.488365219;4.614029014
18;702737.5625;9323574;4.750593824;3.452270113;4.554920387
19;702787.125;9323568;4.750593824;3.478879875;4.604084174
20;702836.6875;9323561;4.750593824;3.524683949;4.678123097
21;702886.25;9323555;4.750593824;3.535563118;4.688769426
22;702935.75;9323548;4.750593824;3.56380551;4.720022321
23;702985.3125;9323541;4.750593824;3.568322531;4.725707305
24;703034.875;9323535;4.750593824;3.543523667;4.672669621
25;703084.4375;9323528;4.750593824;3.55948252;4.691235436
26;703134;9323521;4.750593824;3.590147066;4.738666055
27;703183.5625;9323515;4.750593824;3.600859014;4.763362165
28;703233.125;9323508;4.750593824;3.619393383;4.792751836
29;703279.5625;9323491;4.750593824;3.556065893;4.727640174
30;703316.75;9323459;4.750593824;3.472206882;4.623942418
31;703340.125;9323415;4.750593824;3.412599978;4.550977143
32;703355.0625;9323367;4.750593824;3.418946324;4.592285127
33;703362.375;9323318;4.750593824;3.453549645;4.667061982
34;703349.0625;9323270;4.750593824;3.440949968;4.704378162
35;703317.875;9323232;4.84496124;3.413607237;4.786449407
36;703280.9375;9323198;4.84496124;2.871519174;4.49702543
37;703244.0625;9323164;4.84496124;2.372507567;4.042436832
38;703208.5625;9323129;4.84496124;2.088062464;3.698880385
39;703173;9323094;4.84496124;1.794211942;3.22578174
40;703151.875;9323053;4.84496124;1.655717301;2.983736506
